a	a	700	一，一个〔用于未曾提及或对方不知道的人或物的名称前〕
a bad actor	a bad actor	580	[口]坏蛋；[口]危险分子
a bad penny	a bad penny	680	反复出现的讨厌的人；一再出现的不需要的人
a bag of nails	a bag of nails	680	颠三倒四；混乱
a bar of chocolate	a bar of chocolate	680	n. 一条巧克力
a bar of soap	a bar of soap	680	一块（条）肥皂
a basin of	a basin of	580	一脸盆……
a basket of currencies	a basket of currencies	680	[经]笼统货币；一篮子货币
a batch of	a batch of	380	一批
a beast of	a beast of	580	[口语]粗野；恶劣
a big kiss	a big kiss	680	亲吻你；一个大大吻
a big pot	a big pot	580	大人物
a bit expensive	a bit expensive	680	有点贵
a bit of	a bit of	680	一点
a bit off	a bit off	680	[英口]有点失常；不太对劲
a bit on	a bit on	680	[俚语]醉(一般与get连用)
a bit thick	a bit thick	680	过分
a blank sheet	a blank sheet	580	一张白纸；纯洁的心灵
a blast of	a blast of	480	一阵风
a blessing in disguise	a blessing in disguise	480	塞翁失马
a block of	a block of	680	一块，一大块…
a body of	a body of	680	一片，大量
a bottle of	a bottle of	680	一瓶
a bowl of rice	a bowl of rice	680	一碗米饭
a bowl of water	a bowl of water	680	一碗水
a bunch of	a bunch of	580	一群；一束；一堆
a bunch of flowers	a bunch of flowers	580	一束花
a bunch of grapes	a bunch of grapes	580	一串葡萄
a burning desire	a burning desire	580	强烈的愿望
a certain amount of	a certain amount of	680	一定数量的
a certain degree	a certain degree	680	到某种程度
a certain extent	a certain extent	680	一定程度上
a chapter of accidents	a chapter of accidents	580	接踵而来的灾祸；一连串未预料到的事情
a clap of thunder	a clap of thunder	680	一声霹雳
a clear breach	a clear breach	380	【航海学】无碍冲刷浪(冲过甲板而未损害物件)
a clear conscience	a clear conscience	580	问心无愧
a cloud of dust	a cloud of dust	680	一阵尘土
a cluster of	a cluster of	380	一群；一组；一串
a collection of	a collection of	580	一批，一些；收藏的；许多的；集…为一体的
a complete set of	a complete set of	680	一整套
a copy of	a copy of	680	一份，一本
a couple of	a couple of	680	三两个…；一对…
a couple of days	a couple of days	680	一两天
a couple of times	a couple of times	680	好几次；若干次
a crew of	a crew of	580	一组工作人员
a crop of	a crop of	580	许多，一批，一堆
a crowd of	a crowd of	680	一大群；许多的
a cup of	a cup of	680	一杯…
a dash of	a dash of	580	少许；一点儿
a devil of a	a devil of a	480	讨厌…的，异常的…，非常恼人(或糟糕)的；有趣的；极麻烦的
a dime a dozen	a dime a dozen	180	多得很；不稀罕；不值钱；容易得到的；比比皆是的
a dog's chance	a dog's chance	680	极有限的一点机会[常用于否定句]
a dose of	a dose of	480	一剂（药）
a dozen eggs	a dozen eggs	680	一打鸡蛋
a drop of	a drop of	680	一滴…
a drop of something	a drop of something	680	一口酒；一杯酒
a drop of water	a drop of water	680	一滴水
a far cry from	a far cry from	680	与…有很大差别；完全不同；很长的距离或时间
a farewell to arms	a farewell to arms	480	永别了，武器（书名，海明威著）
a fat lot	a fat lot	680	[俚]几乎不；很少
a few days ago	a few days ago	680	几天前
a fit of	a fit of	680	阵发；突发一阵
a fleet of	a fleet of	480	机群；一队…
a flock of	a flock of	480	一群（鸟，羊等）
a flock of sheep	a flock of sheep	680	一群羊
a flood of	a flood of	580	一大批…
a flourish of trumpets	a flourish of trumpets	480	大肆宣扬
a form of	a form of	680	一种…的形式
a fraction of	a fraction of	480	一小部分；一部分；零点几
a glass of	a glass of	680	一杯
a glass of water	a glass of water	680	一杯水
a good deal of	a good deal of	680	大量的；很多的
a good few	a good few	680	相当多
a good many	a good many	680	许多，很多
a good rest	a good rest	680	好好休息
a good sort	a good sort	680	好人
a good un	a good un	580	◎好人
a grain of	a grain of	580	一粒…
a grain of sand	a grain of sand	680	一粒沙子
a grain of truth	a grain of truth	680	一丝真理
a great amount of	a great amount of	680	大量的；许多的；大部分的
a great deal of	a great deal of	680	大量
a great gulf fixed	a great gulf fixed	480	鸿沟
a great many	a great many	680	很多，许多
a great many of	a great many of	680	许多；大量
a great number of	a great number of	680	多数的，许多
a great quantity of	a great quantity of	580	（接可数或不可数）大量
a great variety of	a great variety of	580	各种各样的；大量的
a group of	a group of	680	一组，一群
a half hour	a half hour	680	半小时
a handful of	a handful of	580	一把；少量的；一小部分
a handful of people	a handful of people	580	少数的人；少量的几个人
a heap of	a heap of	580	[口]一大堆；许多
a hell of a	a hell of a	480	很多的；极恶劣的；出色的
a herd of	a herd of	480	一群（牛、鹿等）
a hint of	a hint of	480	少许，一点点
a horde of	a horde of	180	一群
a host of	a host of	680	许多，一大群；众多，大量
a hundred and one	a hundred and one	680	许多
a hundred percent	a hundred percent	680	百分之百；完全
a hundred to one	a hundred to one	680	一百与一之比；可能性极大
a jolly dog	a jolly dog	480	[俚语]快乐的家伙；酒友
a large amount of	a large amount of	680	大量的（接不可数名词）
a large crowd of	a large crowd of	680	一大群的
a large extent	a large extent	680	很大程度
a large proportion of	a large proportion of	480	一大部分
a large quantity of	a large quantity of	680	adj. 大量的
a large sum of	a large sum of	480	一大笔；大量的
a lease of life	a lease of life	480	寿命
