ㄝ	ㄝ
ㄝˋ	誒
ㄦ	ㄦ
ㄦ	兒
ㄦˇ	爾
ㄦˇ	耳
ㄦˇ	洱
ㄦˇ	餌
ㄦˇ	邇
ㄦˇ	珥
ㄦˇ	駬
ㄦˇ	薾
ㄦˇ	鉺
ㄦˇ	峏
ㄦˇ	尒
ㄦˇ	栮
ㄦˋ	二
ㄦˋ	貳
ㄦˋ	佴
ㄦˋ	刵
ㄦˋ	咡
ㄦˋ	樲
ㄦˋ	聏
ㄦˋ	毦
ㄦˋ	眲
ㄦˋ	衈
ㄦˋ	弍
ㄦˊ	兒
ㄦˊ	而
ㄦˊ	洏
ㄦˊ	耏
ㄦˊ	胹
ㄦˊ	輀
ㄦˊ	侕
ㄦˊ	栭
ㄦˊ	陑
ㄦˊ	鮞
ㄦˊ	檽
ㄦˊ	聏
ㄦˊ	荋
ㄦˊ	唲
ㄦˊ	鴯
ㄡ	歐
ㄡ	甌
ㄡ	毆
ㄡ	嘔
ㄡ	謳
ㄡ	鷗
ㄡ	ㄡ
ㄡ	慪
ㄡ	區
ㄡ	熰
ㄡ	蓲
ㄡ	櫙
ㄡˇ	偶
ㄡˇ	藕
ㄡˇ	嘔
ㄡˇ	耦
ㄡˇ	吘
ㄡˇ	湡
ㄡˇ	腢
ㄡˇ	蕅
ㄡˋ	嘔
ㄡˋ	漚
ㄡˋ	噢
ㄡˊ	吽
ㄥ	鞥
ㄥ	ㄥ
ㄢ	安
ㄢ	鞍
ㄢ	庵
ㄢ	諳
ㄢ	氨
ㄢ	銨
ㄢ	胺
ㄢ	ㄢ
ㄢ	鵪
ㄢ	媕
ㄢ	侒
ㄢ	盦
ㄢ	峖
ㄢ	痷
ㄢ	腤
ㄢ	萻
ㄢ	韽
ㄢ	垵
ㄢ	鮟
ㄢˇ	俺
ㄢˇ	唵
ㄢˇ	晻
ㄢˇ	堷
ㄢˋ	暗
ㄢˋ	案
ㄢˋ	岸
ㄢˋ	按
ㄢˋ	黯
ㄢˋ	菴
ㄢˋ	闇
ㄢˋ	犴
ㄢˋ	豻
ㄢˋ	匼
ㄢˋ	桉
ㄢˋ	洝
ㄢˋ	荌
ㄢˋ	錌
ㄢˋ	匎
ㄢˋ	婩
ㄢˋ	儑
ㄢˊ	雸
ㄢˊ	玵
ㄢˊ	啽
ㄅ	ㄅ
ㄅㄥ	崩
ㄅㄥ	繃
ㄅㄥ	伻
ㄅㄥ	弸
ㄅㄥ	祊
ㄅㄥ	閍
ㄅㄥ	塴
ㄅㄥ	絣
ㄅㄥˇ	菶
ㄅㄥˇ	玤
ㄅㄥˇ	琫
ㄅㄥˇ	埲
ㄅㄥˇ	誁
ㄅㄥˋ	蹦
ㄅㄥˋ	搒
ㄅㄥˋ	洴
ㄅㄥˋ	迸
ㄅㄥˋ	跰
ㄅㄥˋ	泵
ㄅㄥˊ	甭
ㄅㄥˊ	甮
ㄅㄢ	班
ㄅㄢ	般
ㄅㄢ	搬
ㄅㄢ	斑
ㄅㄢ	頒
ㄅㄢ	扳
ㄅㄢ	瘢
ㄅㄢ	虨
ㄅㄢ	斒
ㄅㄢ	攽
ㄅㄢ	褩
ㄅㄢˇ	板
ㄅㄢˇ	版
ㄅㄢˇ	闆
ㄅㄢˇ	阪
ㄅㄢˇ	舨
ㄅㄢˇ	昄
ㄅㄢˇ	鈑
ㄅㄢˇ	粄
ㄅㄢˇ	蝂
ㄅㄢˇ	坂
ㄅㄢˋ	半
ㄅㄢˋ	辦
ㄅㄢˋ	伴
ㄅㄢˋ	扮
ㄅㄢˋ	拌
ㄅㄢˋ	絆
ㄅㄢˋ	姅
ㄅㄢˋ	瓣
ㄅㄢˋ	爿
ㄅㄢˋ	怑
ㄅㄢˋ	湴
ㄅㄢˋ	鉡
ㄅㄢˋ	靽
ㄅㄚ	八
ㄅㄚ	捌
ㄅㄚ	巴
ㄅㄚ	疤
ㄅㄚ	芭
ㄅㄚ	笆
ㄅㄚ	粑
ㄅㄚ	叭
ㄅㄚ	扒
ㄅㄚ	豝
ㄅㄚ	吧
ㄅㄚ	仈
ㄅㄚ	朳
ㄅㄚ	峇
ㄅㄚˇ	把
ㄅㄚˇ	靶
ㄅㄚˇ	鈀
ㄅㄚˋ	罷
ㄅㄚˋ	爸
ㄅㄚˋ	霸
ㄅㄚˋ	壩
ㄅㄚˋ	耙
ㄅㄚˋ	弝
ㄅㄚˋ	灞
ㄅㄚˋ	伯
ㄅㄚˋ	猈
ㄅㄚˋ	把
ㄅㄚˊ	拔
ㄅㄚˊ	跋
ㄅㄚˊ	鈸
ㄅㄚˊ	魃
ㄅㄚˊ	茇
ㄅㄚˊ	鼥
ㄅㄚˊ	軷
ㄅㄚˊ	犮
ㄅㄚˊ	菝
ㄅㄚˊ	胈
ㄅㄚˊ	詙
ㄅㄚ˙	吧
ㄅㄚ˙	罷
ㄅㄚ˙	琶
ㄅㄚ˙	杷
ㄅㄚ˙	爸
ㄅㄚ˙	巴
ㄅㄞ	掰
ㄅㄞˇ	百
ㄅㄞˇ	擺
ㄅㄞˇ	佰
ㄅㄞˇ	襬
ㄅㄞˇ	粨
ㄅㄞˇ	捭
ㄅㄞˇ	矲
ㄅㄞˇ	絔
ㄅㄞˋ	敗
ㄅㄞˋ	拜
ㄅㄞˋ	唄
ㄅㄞˋ	粺
ㄅㄞˋ	椑
ㄅㄞˋ	稗
ㄅㄞˋ	矲
ㄅㄞˋ	庍
ㄅㄞˊ	白
ㄅㄤ	幫
ㄅㄤ	邦
ㄅㄤ	傍
ㄅㄤ	梆
ㄅㄤ	鞤
ㄅㄤ	縍
ㄅㄤ	垹
ㄅㄤˇ	榜
ㄅㄤˇ	綁
ㄅㄤˇ	牓
ㄅㄤˇ	膀
ㄅㄤˇ	氆
ㄅㄤˋ	棒
ㄅㄤˋ	磅
ㄅㄤˋ	謗
ㄅㄤˋ	蚌
ㄅㄤˋ	傍
ㄅㄤˋ	鎊
ㄅㄤˋ	旁
ㄅㄤˋ	甏
ㄅㄤˋ	塝
ㄅㄤˋ	艕
ㄅㄤˋ	蒡
ㄅㄛ	玻
ㄅㄛ	撥
ㄅㄛ	剝
ㄅㄛ	菠
ㄅㄛ	缽
ㄅㄛ	嶓
ㄅㄛ	砵
ㄅㄛ	播
ㄅㄛ	般
ㄅㄛ	碆
ㄅㄛ	袚
ㄅㄛ	襏
ㄅㄛ	鱍
ㄅㄛ	啵
ㄅㄛ	柭
ㄅㄛ	蹳
ㄅㄛ	岥
ㄅㄛ	蔔
ㄅㄛ	波
ㄅㄛ	鉢
ㄅㄛˇ	跛
ㄅㄛˇ	簸
ㄅㄛˇ	蚾
ㄅㄛˋ	播
ㄅㄛˋ	擘
ㄅㄛˋ	簸
ㄅㄛˋ	亳
ㄅㄛˋ	薜
ㄅㄛˋ	譒
ㄅㄛˋ	薄
ㄅㄛˋ	檗
ㄅㄛˋ	蘗
ㄅㄛˋ	繴
ㄅㄛˋ	挀
ㄅㄛˊ	伯
ㄅㄛˊ	博
ㄅㄛˊ	柏
ㄅㄛˊ	泊
ㄅㄛˊ	勃
ㄅㄛˊ	搏
ㄅㄛˊ	渤
ㄅㄛˊ	駁
ㄅㄛˊ	白
ㄅㄛˊ	薄
ㄅㄛˊ	脖
ㄅㄛˊ	帛
ㄅㄛˊ	舶
ㄅㄛˊ	箔
ㄅㄛˊ	荸
ㄅㄛˊ	蔔
ㄅㄛˊ	膊
ㄅㄛˊ	鈸
ㄅㄛˊ	餑
ㄅㄛˊ	鉑
ㄅㄛˊ	欂
ㄅㄛˊ	鵓
ㄅㄛˊ	踣
ㄅㄛˊ	浡
